,Total_Plays,Active_Maps,Average_Map_Quality
94,2248,976,0.6757592288835212
95,2280,980,0.6757592288835212
96,2310,992,0.6756152786448902
97,2332,999,0.6756152786448902
98,2366,1006,0.6756152786448902
99,2392,1011,0.6756152786448902
100,2421,1016,0.6756152786448902
101,2450,1020,0.6756152786448902
102,2479,1026,0.6756152786448902
103,2506,1034,0.6756152786448902
104,2535,1042,0.6756152786448902
105,2564,1055,0.6756152786448902
106,2586,1059,0.6756152786448902
107,2619,1064,0.6756152786448902
108,2648,1072,0.6756152786448902
109,2672,1077,0.6756152786448902
110,2705,1087,0.6756152786448902
111,2734,1093,0.6756152786448902
112,2759,1102,0.6756152786448902
113,2790,1111,0.6756152786448902
114,2819,1115,0.6756152786448902
115,2848,1117,0.6756152786448902
116,2877,1127,0.6756152786448902
117,2902,1133,0.6756152786448902
118,2933,1138,0.6756152786448902
119,2961,1145,0.6756152786448902
120,2988,1152,0.6755901368319656
121,3015,1157,0.6755901368319656
122,3042,1163,0.6755901368319656
123,3072,1165,0.6755901368319656
124,3107,1174,0.6755901368319656
125,3130,1177,0.6755901368319656
126,3161,1178,0.6755901368319656
127,3194,1182,0.6755901368319656
128,3225,1187,0.6755901368319656
129,3248,1190,0.6755901368319656
130,3278,1198,0.6755901368319656
131,3312,1204,0.6755901368319656
132,3338,1206,0.6755901368319656
133,3363,1209,0.6755901368319656
134,3397,1216,0.6755901368319656
135,3431,1218,0.6755901368319656
136,3452,1218,0.6755901368319656
137,3482,1223,0.6755901368319656
138,3514,1226,0.6755901368319656
139,3541,1232,0.6755901368319656
140,3568,1237,0.6755901368319656
141,3599,1239,0.6755901368319656
142,3632,1245,0.6755901368319656
143,3654,1251,0.6755901368319656
144,3681,1258,0.6755607771774897
145,3717,1262,0.6755607771774897
146,3743,1268,0.6755607771774897
147,3763,1269,0.6755607771774897
148,3799,1273,0.6755607771774897
149,3835,1278,0.6755607771774897
150,3853,1279,0.6755607771774897
151,3880,1283,0.6755607771774897
152,3914,1288,0.6755607771774897
153,3946,1291,0.6755607771774897
154,3968,1292,0.6755607771774897
155,3996,1299,0.6755607771774897
156,4034,1302,0.6755607771774897
157,4060,1306,0.6755607771774897
158,4086,1308,0.6755607771774897
159,4114,1311,0.6755607771774897
160,4144,1320,0.6755607771774897
161,4176,1322,0.6755607771774897
162,4199,1327,0.6755607771774897
163,4230,1328,0.6755607771774897
164,4262,1330,0.6755607771774897
165,4295,1333,0.6755607771774897
166,4314,1335,0.6755607771774897
167,4346,1339,0.6755607771774897
168,4384,1344,0.6755314160185563
169,4408,1348,0.6755314160185563
170,4432,1351,0.6755314160185563
171,4463,1359,0.6755314160185563
172,4496,1366,0.6755314160185563
173,4521,1369,0.6755314160185563
174,4546,1372,0.6755314160185563
175,4580,1372,0.6755314160185563
176,4612,1378,0.6755314160185563
177,4636,1383,0.6755314160185563
178,4669,1386,0.6755314160185563
179,4695,1393,0.6755314160185563
180,4722,1396,0.6755314160185563
181,4754,1401,0.6755314160185563
182,4779,1405,0.6755314160185563
183,4810,1411,0.6755314160185563
184,4845,1416,0.6755314160185563
185,4866,1418,0.6755314160185563
186,4901,1418,0.6755314160185563
187,4931,1420,0.6755314160185563
188,4959,1424,0.6755314160185563
189,4980,1425,0.6755314160185563
190,5017,1430,0.6755314160185563
191,5043,1436,0.6755314160185563
192,5067,1440,0.6755642228001173
193,5093,1442,0.6755642228001173
194,5129,1445,0.6755642228001173
195,5158,1451,0.6755642228001173
196,5180,1452,0.6755642228001173
197,5208,1453,0.6755642228001173
198,5239,1456,0.6755642228001173
199,5272,1458,0.6755642228001173
200,5300,1458,0.6755642228001173
201,5319,1458,0.6755642228001173
202,5354,1462,0.6755642228001173
203,5387,1466,0.6755642228001173
204,5411,1468,0.6755642228001173
205,5436,1470,0.6755642228001173
206,5468,1472,0.6755642228001173
207,5502,1476,0.6755642228001173
208,5523,1478,0.6755642228001173
209,5556,1484,0.6755642228001173
210,5586,1488,0.6755642228001173
211,5614,1493,0.6755642228001173
212,5646,1494,0.6755642228001173
213,5672,1497,0.6755642228001173
214,5697,1499,0.6755642228001173
215,5732,1502,0.6755642228001173
216,5761,1503,0.6756122117924448
217,5787,1507,0.6756122117924448
218,5817,1509,0.6756122117924448
219,5847,1513,0.6756122117924448
220,5875,1517,0.6756122117924448
221,5894,1521,0.6756122117924448
222,5928,1522,0.6756122117924448
223,5958,1524,0.6756122117924448
224,5986,1528,0.6756122117924448
225,6012,1529,0.6756122117924448
226,6046,1530,0.6756122117924448
227,6072,1532,0.6756122117924448
228,6097,1534,0.6756122117924448
229,6131,1537,0.6756122117924448
230,6158,1538,0.6756122117924448
231,6184,1541,0.6756122117924448
232,6214,1544,0.6756122117924448
233,6242,1545,0.6756122117924448
234,6271,1545,0.6756122117924448
235,6298,1549,0.6756122117924448
236,6328,1552,0.6756122117924448
237,6362,1554,0.6756122117924448
238,6388,1557,0.6756122117924448
239,6410,1560,0.6756122117924448
240,6438,1562,0.6755854099199078
241,6482,1569,0.6755854099199078
242,6496,1570,0.6755854099199078
243,6526,1574,0.6755854099199078
244,6560,1576,0.6755854099199078
